id_festival,nom_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,site_internet_festival,adresse_mail_festival,decennie_creation_festival,annee_creation_festival,discipline_dominante_festival,sous-categorie_spectacle_vivant,sous-categorie_musique,sous-categorie_cinema_et_audiovisuel,sous-categorie_arts_visuels_et_numeriques,sous-categorie_livre_et_litterature,periode_principale_deroulement_festival,geocodage_xy_festival,geocodage_latitude_festival,geocodage_longitude_festival,,,,,,,,,,,,,,,,
1073,Les Douchynoiseries,Intercommunale,59179,Place Paul Eluard,Hôtel de ville,http://www.imaginaire-douchy.fr/,douchy.culture@gmail.com,De 2000 à 2009,2005,Pluridisciplinaire,,,,,,Saison (21 juin - 5 septembre),"50.2994352925, 3.38947295524",50.2994352925,3.38947295524,,,,,,,,,,,,,,,,
1074,Jazz So Nord,Intercommunale,37204,,,https://www.sallequatrevents.com,,2010 et après,2013,Musique,,"Jazz, Blues",,,,Avant-saison (1er janvier - 20 juin),"47.5311263676, 0.647449146554",47.5311263676,0.647449146554,,,,,,,,,,,,,,,,
1075,Les mots dégelés,Intercommunale,7019,,dans les rues d'aubenas,https://www.facebook.com/Les-mots-d%C3%A9gel%C3%A9s-Association-560411487427004/,,2010 et après,2015,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"44.6102127084, 4.39638981424",44.6102127084,4.39638981424,,,,,,,,,,,,,,,,
1076,Liévin Metal Fest,Intercommunale,62510,Place Gambetta,Centre Arc en Ciel,,info@lievin.fr,2010 et après,2016,Musique,,"Métal, Hard Rock",,,,Avant-saison (1er janvier - 20 juin),"50.4242782538, 2.77291885384",50.4242782538,2.77291885384,,,,,,,,,,,,,,,,
1077,ll était une voix,Intercommunale,3110,,Différents lieux : Théâtre Jacques-Prévert Conservatoire de musique et de danse à Rayonnement Départemental d’Aulnay-sous-Bois,https://www.lecrea.fr/action-culturelle/festival-il-etait-une-voix/,,De 2000 à 2009,,Spectacle vivant,,,,,,Après-saison (6 septembre - 31 décembre),"46.1292798016, 3.33501762138",46.1292798016,3.33501762138,,,,,,,,,,,,,,,,
1078,Les oralies,Intercommunale,4088,1 Impasse Des cordeliers,Cric,,labaleinequiditvagues@mailo.com,2010 et après,,"Livre, littérature",,,,,Fiction,Saison (21 juin - 5 septembre),"43.9599082374, 5.7882827572",43.9599082374,5.7882827572,,,,,,,,,,,,,,,,
1079,Festival de la parole et du livre,Intercommunale,6123,222 Esplanade Du levant,,,brigitte.belhassen@saintlaurentduvar.fr,De 1990 à 1999,1995,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"43.6859625772, 7.18218791815",43.6859625772,7.18218791815,,,,,,,,,,,,,,,,
1080,Festival Musicalta,Intercommunale,68255,Eglise Saint-Martin Place de la Mairie,,https://www.musicalta.com/,contact@musicalta.com,De 2000 à 2009,2001,Musique,,"Musique classique, Musique de répertoire",,,,Saison (21 juin - 5 septembre),,,,,,,,,,,,,,,,,,,
1081,Printemps des Rues,Intercommunale,75056,,,https://www.leprintempsdesrues.com,,De 1990 à 1999,01/01/1998 00:00,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"48.8567, 2.3508",48.8567,2.3508,,,,,,,,,,,,,,,,
1082,Nuits musicales d'Uzès,Intercommunale,30334,16 Place Albert 1er,,https://www.nuitsmusicalesuzes.com,info@nuitsmusicalesuzes.com,Avant 1980,1971,Musique,,,,,,Saison (21 juin - 5 septembre),"44.0136590402, 4.41600031556",44.0136590402,4.41600031556,,,,,,,,,,,,,,,,
1083,Festiv'art Amiens,Intercommunale,80021,70 rue des jacobins,,,myfestivart@gmail.com,De 2000 à 2009,2006,Musique,,"Rock, blues, pop",,,,Après-saison (6 septembre - 31 décembre),"49.9009532186, 2.29007445539",49.9009532186,2.29007445539,,,,,,,,,,,,,,,,
1084,Petit Patapon,Intercommunale,74015,,Différents lieux : l’Espace culturel La Ferme Médiathèque Louise Michel théâtre Renoir MJC Dans les autres médiathèques,http://www.petitpatapon.net/,,2010 et après,,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"46.086240469, 6.20734603818",46.086240469,6.20734603818,,,,,,,,,,,,,,,,
1085,Ciné-rétro en ciné-concerts,Intercommunale,21054,,,https://www.beaune-tourisme.fr/,,De 1990 à 1999,1995,"Cinéma, audiovisuel",,,,,,Saison (21 juin - 5 septembre),"47.0255189366, 4.83767985985",47.0255189366,4.83767985985,,,,,,,,,,,,,,,,
1086,Chalon tout court,Intercommunale,71076,,,,,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,Court métrage,,,Avant-saison (1er janvier - 20 juin),"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,,,,,,,,,,,,,,,,
1087,LÉcho du  Caquetoire,Intercommunale,41050,,,https://www.echo-du-caquetoire.org/,,De 2000 à 2009,2007,Spectacle vivant,Arts de la rue,,,,,Saison (21 juin - 5 septembre),"47.4773814435, 1.45430435221",47.4773814435,1.45430435221,,,,,,,,,,,,,,,,
1088,Prise de CirQ',Intercommunale,21231,7 Allée de Saint-Nazaire,,https://www.cirqonflex.fr,n.jannaud@cirqonflex.fr,De 2000 à 2009,2009,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"47.3229437965, 5.03788805877",47.3229437965,5.03788805877,,,,,,,,,,,,,,,,
1089,We Will Folk You,Intercommunale,59183,1 Ilôt des 4 Ecluses,Rue de la Cunette,https://4ecluses.com,peggy@4ecluses.com,2010 et après,2011,Musique,,Folk,,,,Avant-saison (1er janvier - 20 juin),"51.0307229078, 2.33752414095",51.0307229078,2.33752414095,,,,,,,,,,,,,,,,
1090,Festival des mots,Intercommunale,70227,13 Rue de Molland,,,enviesdici70@gmail.com,2010 et après,2017,"Livre, littérature",,,,,"Bande dessinée, comics, manga, Fiction (roman, théâtre, etc.), Polar",Après-saison (6 septembre - 31 décembre),"47.8319641353, 6.5834328372",47.8319641353,6.5834328372,,,,,,,,,,,,,,,,
1091,Festival du livre de Gaillac,Intercommunale,81099,5 Place Rives Thomas,,https://festivaldulivre-gaillac.fr/,culture.attractivite@ville-gaillac.fr,De 1990 à 1999,,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"43.9170968776, 1.88647213801",43.9170968776,1.88647213801,,,,,,,,,,,,,,,,
1092,Fort en Musique,Intercommunale,90052,5 Place Grand Place,,https://Fortenmusique.com,info@fortenmusique.com,2010 et après,2018,Musique,,"Musique classique, Musique contemporaine, Musiques du monde",,,,Saison (21 juin - 5 septembre),"47.741048439, 6.82264329531",47.741048439,6.82264329531,,,,,,,,,,,,,,,,
1093,Contes en marches,Intercommunale,43265,8 Rue des cartables,,,frederic.lavial@wanadoo.fr,De 2000 à 2009,2008,"Livre, littérature",,,,,Conte,Après-saison (6 septembre - 31 décembre),"45.2404575715, 4.17878792262",45.2404575715,4.17878792262,,,,,,,,,,,,,,,,
1094,Primavera Latina,Intercommunale,69123,1 Place des Archives,,https://www.espaces-latinos.org/primavera-latina-2021,,2010 et après,2015,Pluridisciplinaire,,,,,,Avant-saison (1er janvier - 20 juin),"45.759723, 4.842223",45.759723,4.842223,,,,,,,,,,,,,,,,
1095,Sens interdits,Intercommunale,69123,Place Des Terreaux,galerie des Terreaux,https://www.sensinterdits.org,direction@sensinterdits.org,De 2000 à 2009,2009,Spectacle vivant,Théâtre,,,,,Après-saison (6 septembre - 31 décembre),"45.759723, 4.842223",45.759723,4.842223,,,,,,,,,,,,,,,,
1096,"Invitations, patrimoines en domitienne",Intercommunale,34155,,Hôtel De Communauté,https://ladomitienne.com,culture@ladomitienne.com,De 2000 à 2009,2008,Musique,,"Chanson ou variété française, Musiques du monde, Pop, rock",,,,Après-saison (6 septembre - 31 décembre),"43.3515394407, 3.10170846517",43.3515394407,3.10170846517,,,,,,,,,,,,,,,,
1097,Les in:entendu·e·s,Intercommunale,37170,Rue des Près,,https://lesinentendus.fr/,contact@lesinentendus.fr,2010 et après,2020,Musique,,Musique contemporaine,,,,Saison (21 juin - 5 septembre),"47.6044637053, 0.589828004611",47.6044637053,0.589828004611,,,,,,,,,,,,,,,,
1098,Festival des pinces à linge,Intercommunale,58194,,,,,2010 et après,2017,Musique,,musique classique,,,,Après-saison (6 septembre - 31 décembre),"46.9881194908, 3.15689130958",46.9881194908,3.15689130958,,,,,,,,,,,,,,,,
1099,Printemps du livre,Intercommunale,73191,,Bassin chambérien,https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/1756,,De 2000 à 2009,,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"45.5883066651, 5.77193430721",45.5883066651,5.77193430721,,,,,,,,,,,,,,,,
1100,Ça jazze aux Portes briardes,Intercommunale,77350,,,,,,,Musique,,,,,,Avant-saison (1er janvier - 20 juin),"48.7635612396, 2.67962508199",48.7635612396,2.67962508199,,,,,,,,,,,,,,,,
1101,Détours de chant,Intercommunale,31555,12 Rue jean rancy,,https://www.detoursdechant.com/,coordination@detoursdechant.com,De 2000 à 2009,2002,Musique,,,,,,Avant-saison (1er janvier - 20 juin),"43.5963814303, 1.43167293364",43.5963814303,1.43167293364,,,,,,,,,,,,,,,,
1102,Musicalies en sologne,Intercommunale,41176,,,https://www.ucps.fr/musicalies-en-sologne,,De 1980 à 1989,1989,Musique,,Musiques du monde,,,,Avant-saison (1er janvier - 20 juin),"47.5270515255, 2.12726759593",47.5270515255,2.12726759593,,,,,,,,,,,,,,,,
1103,Le son des pierres,Intercommunale,84105,22 Route De castellet,Maison des assiciations,,festival.sdp@gmail.com,2010 et après,2017,Musique,,"Jazz, blues, musique classique, musique contemporaine, musiques du monde",,,,Après-saison (6 septembre - 31 décembre),"43.8604088316, 5.43831613647",43.8604088316,5.43831613647,,,,,,,,,,,,,,,,
1104,Instants fertiles,Intercommunale,44184,,,,contact@athenor.com,2010 et après,2014,Musique,,MUSIQUES CONTEMPORAINES,,,,Après-saison (6 septembre - 31 décembre),"47.2802857028, -2.25379927249",47.2802857028,-2.25379927249,,,,,,,,,,,,,,,,
1105,Fête du Cirque de Saint-Romain de Colbosc,Intercommunale,76647,,,,,2010 et après,2011,Spectacle vivant,Arts du cirque,,,,,Avant-saison (1er janvier - 20 juin),"49.5286231796, 0.363829451738",49.5286231796,0.363829451738,,,,,,,,,,,,,,,,
1106,Festival Ciné jazz à la tour,Intercommunale,30321,7 Rue Abbe Fabre,,https://www.facebook.com/CineJazzalaTour/,somm.imaginaire@gmail.com,,,"Cinéma, audiovisuel",,,musique et cinema en plein air,,,Saison (21 juin - 5 septembre),"43.7756118498, 4.08232743857",43.7756118498,4.08232743857,,,,,,,,,,,,,,,,
1107,Manifesto,Intercommunale,31555,1 Place Saint-Pierre,,,organisation@festival-manifesto.org,De 2000 à 2009,2002,"Arts visuels, arts numériques",,,,,,Après-saison (6 septembre - 31 décembre),"43.5963814303, 1.43167293364",43.5963814303,1.43167293364,,,,,,,,,,,,,,,,
1108,Festival de comédie de boulevard,Intercommunale,84136,Place De l'église,Parvis de l'église,https://www.ville-vacqueyras.fr,mairie.vacqueyras@orange.fr,De 2000 à 2009,2000,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"44.1452203037, 4.9790786368",44.1452203037,4.9790786368,,,,,,,,,,,,,,,,
1109,La Salamandre noire,Intercommunale,21670,31 Rue de la Fontaine,,,katia.penaque@wanadoo.fr,De 2000 à 2009,,Musique,,,,,,Saison (21 juin - 5 septembre),"47.4384612168, 4.67446130828",47.4384612168,4.67446130828,,,,,,,,,,,,,,,,
1110,Festival Carte blanche en Haut-Vallespir,Intercommunale,66003,34 Rue de la sort,,https://www.facebook.com/Festival-Carte-Blanche-en-Haut-Vallespir-1753951768182667/,festival.carteblanche@gmail.com,2010 et après,2016,"Cinéma, audiovisuel",,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation",,,Avant-saison (1er janvier - 20 juin),"42.4436859079, 2.68338432052",42.4436859079,2.68338432052,,,,,,,,,,,,,,,,
1111,Coup de théâtre,Intercommunale,74010,3 place du château,,https://www.coupdetheatre.org,contact@agitateursdereves.org,2010 et après,2012 a eu lieu le premier Coup de théâtre,Spectacle vivant,Théâtre,,,,,Après-saison (6 septembre - 31 décembre),"45.8906432566, 6.12551773598",45.8906432566,6.12551773598,,,,,,,,,,,,,,,,
1112,Cœur de tango festival,Intercommunale,39013,Place Notre Dame,1 Place Notre Dame,https://www.festivaltangoarbois.com/bienvenue,toquedetango@gmail.com,2010 et après,2017,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"46.8941749828, 5.77318253275",46.8941749828,5.77318253275,,,,,,,,,,,,,,,,
1113,Fêtes musicales de l'Aubrac,Intercommunale,12223,1 Place des Tilleuls,Mairie D'argences-En-Aubrac,https://www.fetes-musicales-aubrac.fr/,fetesmusicalesaubrac@gmail.com,2010 et après,2016,Musique,,"Musique classique, Musiques traditionnelles",,,,Après-saison (6 septembre - 31 décembre),"44.8003905234, 2.7434750028",44.8003905234,2.7434750028,,,,,,,,,,,,,,,,
1114,Haut les choeurs,Intercommunale,84007,,,,arnaud.martin@grandavignon.fr,De 2000 à 2009,2008,Musique,,"Chanson ou variété française, jazz, blues, musique classique, musique contemporaine, musiques du monde, musiques traditionnelles, opéra, pop, rock, variétés internationales",,,,Avant-saison (1er janvier - 20 juin),"43.9352448339, 4.84071572505",43.9352448339,4.84071572505,,,,,,,,,,,,,,,,
1115,Boulevard Sainte-Beuve,Intercommunale,62160,18 Place Résistance,,,info@bdsaintebeuve.fr,De 2000 à 2009,2007,"Livre, littérature",,,,,"Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.)",Avant-saison (1er janvier - 20 juin),"50.7271332663, 1.60756334802",50.7271332663,1.60756334802,,,,,,,,,,,,,,,,
1116,Les élancées,Intercommunale,13047,Place Des carmes,,,mlefranc@scenesetcines.fr,De 1990 à 1999,1999,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"43.5502689105, 4.9511813524",43.5502689105,4.9511813524,,,,,,,,,,,,,,,,
1117,Cinéma d'Ailleurs,Intercommunale,37072,,,https://cinemachinon.com,,De 2000 à 2009,2007,"Cinéma, audiovisuel",,,Fiction long métrage,,,Saison (21 juin - 5 septembre),"47.1723001595, 0.245084664558",47.1723001595,0.245084664558,,,,,,,,,,,,,,,,
1118,Les Hivernales,Intercommunale,91174,,,http://www.atelierdelorage.com/les-hivernales/,communication@atelierelorage.com,De 2000 à 2009,2005,Pluridisciplinaire,Spectacle vivant,,,,,Avant-saison (1er janvier - 20 juin),"48.6034809251, 2.46934079002",48.6034809251,2.46934079002,,,,,,,,,,,,,,,,
1119,POUET (AFA le Cheptel),Intercommunale,41248,1 place de la Poste,,,,De 2000 à 2009,2005,Spectacle vivant,Arts du Cirque,,,,,Après-saison (6 septembre - 31 décembre),"48.0447092121, 0.846594759389",48.0447092121,0.846594759389,,,,,,,,,,,,,,,,
1120,Festival d'Entrecasteaux,Intercommunale,83051,1 Place Du général estève,Mairie,https://festivaldentrecasteaux.fr,marie.juliette.rose@gmail.com,De 1980 à 1989,1982,Musique,,"Musique classique, musique contemporaine",,,,Saison (21 juin - 5 septembre),"43.5119622438, 6.23475108853",43.5119622438,6.23475108853,,,,,,,,,,,,,,,,
1121,Salon du livre alpin,Intercommunale,38185,,Palais des sports,,,De 1990 à 1999,1991,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"45.1821215167, 5.72133051752",45.1821215167,5.72133051752,,,,,,,,,,,,,,,,
1122,À l'ombre des Mots,Intercommunale,69159,Rue de l'Ombre,,https://www.lombredesmots.fr,mots@lombredesmots.fr,2010 et après,2014,"Livre, littérature",,,,,"Bande dessinée, comics, manga, Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie, Science-fiction",Après-saison (6 septembre - 31 décembre),"45.9554021029, 4.64557594844",45.9554021029,4.64557594844,,,,,,,,,,,,,,,,
1123,Tendance clown,Intercommunale,13055,45 a Rue D'aubagne,,,production@dakiling.com,De 2000 à 2009,2005,Spectacle vivant,Arts de la rue,,,,,,"43.296346, 5.369889",43.296346,5.369889,,,,,,,,,,,,,,,,
1124,Vague de Jazz,Intercommunale,85194,8 Promenade de l'Amiral Lafargue,,,jac85bechieau@gmail.com,De 2000 à 2009,2002,Musique,,,,,,Saison (21 juin - 5 septembre),"46.5007612799, -1.79255128677",46.5007612799,-1.79255128677,,,,,,,,,,,,,,,,
1125,Hors cadres,Intercommunale,39300,,,,,2010 et après,2018,"Arts visuels, arts numériques",,,,,,Après-saison (6 septembre - 31 décembre),"46.6744796278, 5.55733212947",46.6744796278,5.55733212947,,,,,,,,,,,,,,,,
1126,La guinguette au parc,Intercommunale,39300,,,,,2010 et après,2013,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"46.6744796278, 5.55733212947",46.6744796278,5.55733212947,,,,,,,,,,,,,,,,
1127,Novembre des canuts,Intercommunale,69123,7 Rue Justin Godart,,,compagnie@chienjaune.eu,De 2000 à 2009,2008,Pluridisciplinaire,,,,,,Après-saison (6 septembre - 31 décembre),"45.759723, 4.842223",45.759723,4.842223,,,,,,,,,,,,,,,,
1128,Rencontres musicales de Noyers,Intercommunale,89279,17 Rue de Venoise,,http://www.musicalesdenoyers.com/,,De 1990 à 1999,1991,Musique,,,,,,Saison (21 juin - 5 septembre),"47.6952215995, 3.98085741528",47.6952215995,3.98085741528,,,,,,,,,,,,,,,,
1129,Les Rencontres Internationales de la Harpe en Ile-de-France,Intercommunale,77316,,,https://rih-idf.jimdofree.com,rih-en-idf@orange.fr,2010 et après,2016,Musique,,Musique classique,,,,Avant-saison (1er janvier - 20 juin),"48.365092921, 2.81172585849",48.365092921,2.81172585849,,,,,,,,,,,,,,,,
1130,Festival des cultures numériques et mangas,Intercommunale,26220,,Maison de Pays à Nyons,https://www.nyons.com/sorties-actus/agenda/festival-des-cultures-numeriques-et-du-manga,,2010 et après,2017,Pluridisciplinaire,,,,,,Après-saison (6 septembre - 31 décembre),"44.3564879814, 5.12880832",44.3564879814,5.12880832,,,,,,,,,,,,,,,,
1131,Les folklories internationales,Intercommunale,84088,Place Aristide briand,Jardins mairie,https://www.ville-pernes-les-fontaines.fr,gennet-veronique@orange.fr,De 1990 à 1999,1993,Spectacle vivant,Théâtre d'humour/café-théâtre,Musique traditionnelle,,,,Saison (21 juin - 5 septembre),"43.9960550539, 5.03959100234",43.9960550539,5.03959100234,,,,,,,,,,,,,,,,
1132,Mostra teatrale,Intercommunale,2B230,Route De la plaine,Chez M. Jacques Linale,https://www.mostra-teatrale-pieve.com,mostra.pieve@gmail.com,2010 et après,2015,Spectacle vivant,Théâtre,,,,,Saison (21 juin - 5 septembre),"42.5857060069, 9.27821414573",42.5857060069,9.27821414573,,,,,,,,,,,,,,,,
1133,Victor dans la ville,Intercommunale,76540,27/29 Rue Victor-Hugo,,https://www.aliasvictor.fr,aliasvictor@orange.fr,2010 et après,2016,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"49.4413460103, 1.09256784278",49.4413460103,1.09256784278,,,,,,,,,,,,,,,,
1134,Sang pour sang polar,Intercommunale,38374,,Bibliothèque,http://sangpoursang-polar.blogspot.com/,,2010 et après,,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"45.6409450603, 5.36204346539",45.6409450603,5.36204346539,,,,,,,,,,,,,,,,
1135,Le grand unisson,Intercommunale,45285,,,,,De 1990 à 1999,1990,Musique,,Musiques actuelles,,,,Avant-saison (1er janvier - 20 juin),"47.9116141172, 1.87108144709",47.9116141172,1.87108144709,,,,,,,,,,,,,,,,
1136,Chouet festival,Intercommunale,42239,799 Rue de l'Union,,,dmosnier@roannais-agglomeration.fr,De 2000 à 2009,2006,Pluridisciplinaire,,,,,,Avant-saison (1er janvier - 20 juin),"45.9576591068, 3.98572458074",45.9576591068,3.98572458074,,,,,,,,,,,,,,,,
1137,Athena blues,Intercommunale,59544,Place du 8 Mai 1945,MJC Espace Athena St Saulve,http://bluesinathena.wixsite.com/bluesinathena/blues-in-festival/,bluesinathena@gmail.com,2010 et après,2017,Musique,,"Jazz, Blues",,,,Après-saison (6 septembre - 31 décembre),"50.3750172475, 3.56642418912",50.3750172475,3.56642418912,,,,,,,,,,,,,,,,
1138,Le Pied dans la bassine,Intercommunale,81291,1 Place de la Mairie,,,lepieddanslabassine@gmail.com,2010 et après,,Musique,,,,,,Saison (21 juin - 5 septembre),,,,,,,,,,,,,,,,,,,
1139,Festival des Bords de Vire,Intercommunale,50592,Route de Pont-Farcy,La Minoterie,https://usine-utopik.com,usineutopik@gmail.com,2010 et après,2012,"Arts visuels, arts numériques",,,,"Installation, Performance, Sculpture",,Avant-saison (1er janvier - 20 juin),"48.9633310504, -1.08464396412",48.9633310504,-1.08464396412,,,,,,,,,,,,,,,,
1140,Les mots d'authônes,Intercommunale,74280,,Espace Cœur des vallées,http://www.salondulivre-thones.fr/,,2010 et après,2014,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"45.8852613668, 6.31953220709",45.8852613668,6.31953220709,,,,,,,,,,,,,,,,
1141,Écriture hors les murs,Intercommunale,69256,10 Rue du 19 mars 1962,Résidence Chamarel,,,De 2000 à 2009,2007,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"45.7858821061, 4.92637767698",45.7858821061,4.92637767698,,,,,,,,,,,,,,,,
1142,Semaine du Cinéma Allemand,Intercommunale,41269,,,http://www.prokino.fr/,,De 1980 à 1989,1989,"Cinéma, audiovisuel",,,Fiction long métrage,,,Avant-saison (1er janvier - 20 juin),"47.8013026692, 1.06106057175",47.8013026692,1.06106057175,,,,,,,,,,,,,,,,
1143,tFestival du Vilar,Intercommunale,66225,,Eglise Prieuré Santa Maria Del Vilar,,simeonm30@yahoo.com / prieure.santa.maria.vilar@gmail.com,De 1990 à 1999,1993,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"42.5236011382, 2.89994789711",42.5236011382,2.89994789711,,,,,,,,,,,,,,,,
1144,Corsica madness,Intercommunale,2A004,,,,,2010 et après,2021,Musique,,Chanson,,,,Avant-saison (1er janvier - 20 juin),"41.9347926638, 8.70132275974",41.9347926638,8.70132275974,,,,,,,,,,,,,,,,
1145,Festival du conte et de la calligraphie d'Amiens,Intercommunale,80021,10 Rue Condorcet,,https://www.facebook.com/AcipAmiens/,asso.acip@gmail.com,De 1990 à 1999,1994,Spectacle vivant,,,,,,Après-saison (6 septembre - 31 décembre),"49.9009532186, 2.29007445539",49.9009532186,2.29007445539,,,,,,,,,,,,,,,,
1146,Rues barrées,Intercommunale,89024,14 Place de l’Hôtel de Ville,Mairie,http://www.ot-auxerre.fr/,,2010 et après,2018,Spectacle vivant,Cirque , Arts de la rue,,,,,Saison (21 juin - 5 septembre),"47.793488225, 3.58168281761",47.793488225,3.58168281761,,,,,,,,,,,,,,,
1147,Femmestival,Intercommunale,83012,5 Place Victor hugo,,https://cultureprovenceverdon.fr,culture.provence.verdon@gmail.com,2010 et après,2015,Musique,,Chanson ou variété française,,,,Avant-saison (1er janvier - 20 juin),"43.5523879362, 5.98777049612",43.5523879362,5.98777049612,,,,,,,,,,,,,,,,
1148,Rencontres du film d'animation,Intercommunale,2B033,,,,,2010 et après,2015,"Cinéma, audiovisuel",,,Court métrage,,,Après-saison (6 septembre - 31 décembre),"42.6864768806, 9.42502133338",42.6864768806,9.42502133338,,,,,,,,,,,,,,,,
1149,Salon du livre ancien de Caen,Intercommunale,14118,,,,,De 2000 à 2009,2000,"Livre, littérature",,,,,Livre ancien,Avant-saison (1er janvier - 20 juin),"49.1847936737, -0.369801713036",49.1847936737,-0.369801713036,,,,,,,,,,,,,,,,
1150,Les sons du lac,Intercommunale,73079,1 Lac des Dérouts,,,festivallessonsdulac@gmail.com,De 2000 à 2009,2007,Spectacle vivant,Arts de la rue,,,,,Saison (21 juin - 5 septembre),"45.5473788658, 6.18096637147",45.5473788658,6.18096637147,,,,,,,,,,,,,,,,
1151,Salon du livre ancien et d'occasion,Intercommunale,63113,,Chapelle des Cordeliers,https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2048,,2010 et après,,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"45.7856492991, 3.11554542903",45.7856492991,3.11554542903,,,,,,,,,,,,,,,,
1152,Festival international de Cuisery,Intercommunale,71158,2 Chemin Pierre de Coubertin,,https://www.facebook.com/groups/112234878088/?ref=share_group_link,laveurdee@msn.com,2010 et après,2015,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"46.5569799009, 4.99361378862",46.5569799009,4.99361378862,,,,,,,,,,,,,,,,
1153,Ciné-concerts,Intercommunale,21231,14 Rue Danton,,,scenesoccupations@orange.fr,De 2000 à 2009,2004,"Cinéma, audiovisuel",,,Ciné-concert,,,Saison (21 juin - 5 septembre),"47.3229437965, 5.03788805877",47.3229437965,5.03788805877,,,,,,,,,,,,,,,,
1154,Biennale du livre d'artiste,Intercommunale,14225,,,,contact@artlibris-dives.fr,2010 et après,2014,"Livre, littérature",,,,,Livre d'artistes,Après-saison (6 septembre - 31 décembre),"49.2829553851, -0.0891775344573",49.2829553851,-0.0891775344573,,,,,,,,,,,,,,,,
1155,Les Ricochets,Intercommunale,85092,4 QUAI VICTOR HUGO,,,c.marais@ville-fontenaylecomte.fr,De 1990 à 1999,1992,Spectacle vivant,"Cirque, Arts de la rue",,,,,Saison (21 juin - 5 septembre),"46.4563186117, -0.793449510859",46.4563186117,-0.793449510859,,,,,,,,,,,,,,,,
1156,Fête du livre de Gonfaron,Intercommunale,83067,1 Place Place de la victoire,,https://Www.fetedulivredegonfaron.fr,larevanchedelane@gmail.com,2010 et après,2014,"Livre, littérature",,,,,"Bande dessinée, comics, manga, fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie, polar, science-fiction, littérature",Avant-saison (1er janvier - 20 juin),"43.3206494882, 6.30036862428",43.3206494882,6.30036862428,,,,,,,,,,,,,,,,
1157,Comptoir des Poètes,Intercommunale,26146,Allée du 11 novembre,Salle des fêtes,,,2010 et après,,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"44.4369175751, 4.90180143483",44.4369175751,4.90180143483,,,,,,,,,,,,,,,,
1158,Salon du livre d'Heyrieux,Intercommunale,38189,Rue de Bonce,Salle d'évolution,https://www.facebook.com/events/salle-d%C3%A9volution-rue-de-bonce-38540-heyrieux-france/salon-du-livre-dheyrieux/324450552235779/,,2010 et après,2011,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"45.6280667803, 5.05921319142",45.6280667803,5.05921319142,,,,,,,,,,,,,,,,
1159,Notes d’éte à Irancy,Intercommunale,89202,,,https://www.notesmusicales-irancy.com/le-festival,,2010 et après,2016,Musique,,,,,,Saison (21 juin - 5 septembre),"47.7118538877, 3.68956867667",47.7118538877,3.68956867667,,,,,,,,,,,,,,,,
1160,Festival de la BD de l'Alpe d'Huez,Intercommunale,38191,,Palais des sports,https://www.alpedhuez.com/fr/hiver/evenements-animations/evenements.html?item=322658,,De 2000 à 2009,2005,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"45.0969425761, 6.08474810987",45.0969425761,6.08474810987,,,,,,,,,,,,,,,,
1161,Festival de l'Académie Internationale des Heures Romantiques,Intercommunale,41113,,,https://www.academiedesheuresromantiques.fr/,,de 1990 à 1999,1998,Musique,,Musique classique,,,,Saison (21 juin - 5 septembre),"47.7369568868, 0.886026450993",47.7369568868,0.886026450993,,,,,,,,,,,,,,,,
